major_pin,contract_number,region,project_title,project_status,status,bid_opening_date,federal_funding,state_funding,local_funding,type_of_work,public_friendly_description,contract_award_date,contract_award_amount,approved_cost_changes,current_award_amount,estimated_or_actual_completed_date,schedule_performance,cost_performance,in_future_development_start_date,construction_start_date,construction_end_date,construction_amount
004243,,10 LONG ISLAND,NY25 Intersection Improvement at Coram/Mt. Sinai Rd.,"NY25 Intersection Improvement at Coram/Mt. Sinai Rd. - add a left turn lane on the southbound  Coram/Mt Sinai Road at NY25 intersection.  Shift the curb line on the west side of southbound Mt. Sinai Coram Road by about 12 feet, new striping for south",Future Development,Spring 2025,Yes,Yes,No,Safety Miscellaneous,"This project proposes to add a left turn lane on the southbound Coram Mount Sinal Road at NYS Route 25 intersection.  The work includes shifting of the curb line on the west side of southbound Coram Mount Sinai Road by about 12 feet, new striping for sout",,,,,,,,Spring 2023,Summer 2025,Summer 2026,7000000
005409,,10 LONG ISLAND,NY347 RECONST HALLOCK RD TO CR97,"Reconstruct  NY347 from Hallock Rd to CR97, Town of Brookhaven, Suffolk County.",In Development,Summer 2025,Yes,Yes,No,"Pavement: New, Full Depth Asphalt","This project proposes to improve safety and mobility for vehicles, pedestrians, bicyclists and transit users by reconstructing approximately 1.0 miles of NY347 from Hallock Road to County Route 97 (Nicolls Road) in the Village of Lake Grove, Town of Brook",,,,,,,,Summer 2007,Fall 2025,Summer 2028,34400000
005410,,10 LONG ISLAND,NY347 RECONST CR97 TO OLD TOWN RD,Reconstruct NY347 from CR97 to Old Town Rd,In Development,Summer 2026,Yes,Yes,No,"Pavement: Reconstruction, Asphalt/Overlay","This project proposes to improve safety and mobility for vehicles, pedestrians, bicyclists and transit users by reconstructing 2.83 miles of NY Route 347 from County Route 97 (Nicolls Road ) to Old Town Road. Work will include but not be limited to adding",,,,,,,,Winter 2022/2023,Fall 2026,Winter 2029/2030,48700000
005411,,10 LONG ISLAND,NY347 RECONST OLD WILLETS TO NY454 SPLIT,Reconstruct NY347 from Old Willets Path to NY454,In Development,Summer 2030,Yes,Yes,No,"Pavement: Reconstruction, Asphalt/Overlay","This project proposes to improve safety and mobility for vehicles, pedestrians, bicyclists and transit users by reconstructing 0.89 miles of NY Route 347 from Old Willets Path to NY Route 454 (Veterans Memorial Highway). Work will include but not be limit",,,,,,,,Spring 2027,Fall 2030,Winter 2033/2034,64700000
005412,,10 LONG ISLAND,NY347 OVER CR97 INTERCHANGE CONST,"CONSTRUCT BRIDGE AND INTERCHANGE AT CR97(NICOLLS RD) AND NY347  Town of Brookhaven, Suffolk County",Future Development,Summer 2028,Yes,Yes,No,"Pavement: New, Full Depth Asphalt","This project proposes to construct an overpass at the intersection of NY Route 347 and Nicolls Road (CR97) to improve safety and travel for vehicles, pedestrians, bicyclists and transit users. The bridge will carry NY347 over Nicolls Road. Town of Brookha",,,,,,,,Spring 2025,Fall 2028,Winter 2031/2032,70100000
005423,,10 LONG ISLAND,NY347 RECONST GIBBS POND RD TO HALLOCK RD,Reconstruct NY347 from Gibbs Pond Rd to Hallock Rd,In Development,Fall 2021,Yes,Yes,No,"Pavement: Reconstruction, Asphalt/Overlay","This project proposes to reconstruct 2.03 miles of NY Route 347 from Gibbs Pond Rd to Hallock Road to improve safety and travel for vehicles, pedestrians, bicyclists and transit users. Work will include but not be limited to adding a thru lane in each dir",,,,,,,,Summer 2007,Fall 2021,Fall 2024,68600000
005903,,10 LONG ISLAND,NY27 MEDIAN BARRIER RMC TO 5TH AV,"Install median barrier on NY27 from Robert Moses Causeway to 5th Avenue in Islip Town, Suffolk County.",In Development,Fall 2023,Yes,Yes,No,Guiderail/Median Barrier: New,"This project proposes to install median barrier for 1.6 miles on NY Route 27 (Sunrise Highway) from Robert Moses Causeway to 5th Avenue in the Town of Islip, Suffolk County",,,,,,,,Winter 2002/2003,Winter 2023/2024,Winter 2024/2025,9100000
005927,D263713,10 LONG ISLAND,NY27 OAKDALE MERGE INTERCHANGE IMPVTS,"NY27 Oakdale Merge Interchange Impvts - resurface, drainage & operational impvts, Town of Islip, Suffolk County.",Completed Project,06/07/2018,No,Yes,Yes,Pavement: Mill and Fill,"This project is located at the Oakdale Merge, Sunrise Highway (NY27) in the Town of Islip in Suffolk County. The proposed work includes:  - restore the pavement riding surface to a smooth and distress free condition by milling and resurfacing the existing",2018-08-16T00:00:00.000,7281160.4,357766.98,7638927.38,2020-09-14T00:00:00.000,RED,GREEN,Spring 2017,,,
005931,,10 LONG ISLAND,NY27 westbound/Barnes Rd Bridge Repair,"Bridge repairs on westbound NY27 over Barnes Rd., Town of Brookhaven, Suffolk County.",Future Development,Fall 2022,No,Yes,No,Bridge: General Rehab (Preservation),This project proposes to repair NY27 westbound bridge over Barnes Road including steel repairs and deck repairs. Town of Brookhaven Suffolk County,,,,,,,,Spring 2020,Fall 2022,Fall 2023,6500000
00PS02,D263968,10 LONG ISLAND,PED SAFETY ACTION PLAN - PHASE 2,"Ped Safety Action Plan(PSAP), Implement Prog Phase 2, Systemic Treatments-Imp ped safety, min crash potiental by countermeasures to state hwy network at high risk loc. 100% uncontrolled marked crosswalks & 50% signalized intersections ident,Nas & Suf",Under Construction,06/20/2019,Yes,Yes,No,Pavement Marking,This project proposes to make improvements to pedestrian facilities at Uncontrolled crosswalks and signalized intersections in urban areas throughout the Region. This effort is part of the New York State Pedestrian Safety Action Plan (PSAP) announced by G,2019-08-01T00:00:00.000,5389700,22976.37,5412676.37,2021-12-31T00:00:00.000,RED,GREEN,Winter 2017/2018,,,
011260,D263735,10 LONG ISLAND,NY110 PEDESTRIAN SAFETY IMPROVEMENTS,Pedestrian safety improvements along  NY110 between NY27A & Youngs Hill Road in the towns of Huntington and Babylon Suffolk County,Completed Project,06/07/2018,Yes,Yes,No,Pedestrian Facility (Highway): Improve/Rehab,"This project proposes to provide upgraded pedestrian facilities that focus on pedestrian safety on NY110 between NY27A (Montauk Highway), Town of Babylon and Youngs Hill Road, Town of Huntington including realignment of existing left turn lanes between De",2018-07-23T00:00:00.000,3980019.75,459342.64,4439362.39,2020-09-18T00:00:00.000,RED,RED,Summer 2016,,,
012112,D263907,10 LONG ISLAND,NY106 CONC PAVMT REPAIR NY24 TO OLD COUNTRY RD,"CONCRETE PAVEMENT REPAIRS ON NY106 FROM NY24 TO OLD COUNTRY RD, TOWNS OF HEMPSTEAD & OYSTER BAY, NASSAU COUNTY.",Completed Project,03/14/2019,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy","This project proposes to provide concrete pavement repairs on NY106 between Hempstead Turnpike (NY24) and Old Country Road in the Towns of Hempstead and Oyster Bay, Nassau County to improve its efficiency and provide a smoother driving surface to help ass",2019-04-25T00:00:00.000,6820426.55,161953.24,6982379.79,2020-12-10T00:00:00.000,RED,GREEN,Winter 2016/2017,,,
015625,,10 LONG ISLAND,NY107 OVER I495 BRIDGE REPLACEMENT,Bridge replacement of NY107 over I495 Town of Oyster Bay Nassau County,Future Development,Fall 2031,Yes,Yes,No,Bridge: Replacement: Structural,"This project proposes to replace the NY107 (North Broadway) bridge over I495 (Long Island Expressway) bridge as this structure has reached the end of its lifespan and to provide for safe and efficient travel. Town of Oyster Bay, Nassau County.",,,,,,,,Spring 2018,Fall 2031,Spring 2033,22300000
022948,,10 LONG ISLAND,I495/CROOKED HILL RD INTRCHNG CONST,Construct interchange from westbound I495 to Crooked Hill Rd Town of Islip Suffolk County,In Development,Winter 2021/2022,Yes,Yes,No,"Pavement: New, Full Depth Asphalt","This project proposes to provide vehicles traveling on the Long Island Expressway (I-495) in westbound direction with direct access to Crooked Hill Road (CR13) by constructing new ramps. The proposed project is in the Town of Islip, Suffolk County.",,,,,,,,Summer 2013,Spring 2022,Winter 2023/2024,33400000
022956,,10 LONG ISLAND,I495 PAVEMENT REHAB NASS LINE TO EXIT 55,"I495 Pavement Rehabilitation from Nassau/Suffolk Line to Exit 55(Motor Parkway), Towns of Islip, Huntington & Smithtown, Suffolk County.",In Development,Fall 2021,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to restore the pavement riding surface on the Long Island Expressway (Interstate 495) from the Nassau/Suffolk Line to Motor Parkway (Exit 55) in the Towns of Huntington, Smithtown and Islip in Suffolk County to a smooth and distress",,,,,,,,Winter 2019/2020,Fall 2021,Winter 2022/2023,40800000
022957,,10 LONG ISLAND,I495 Pavement Resurfacing  Exit 55 to Exit 64,"I495 Pavement Resurfacing Exit 55 to Exit 64.  Towns of Islip and Brookhaven, Suffolk County.",In Development,Fall 2021,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on I495 (Long Island Expressway) between Exit 55 (Motor Parkway) and Exit 64 (NY112) in the Incorporated Village of Islandia and in the Towns of Islip and Brookhaven, in Suffolk County, to a smo",,,,,,,,Spring 2020,Fall 2021,Winter 2022/2023,46500000
022958,,10 LONG ISLAND,I495 Ex 64 to Ex 67 CONCRETE PAVEMENT RESTORATION,"Concrete pavement repair including joint sealing and diamond grinding on I495 from NY112 to Yaphank Ave, Town of Brookhaven, Suffolk County.",In Development,Spring 2022,Yes,Yes,No,"Pavement: Concrete Pavement Repair, Heavy",This project proposes to provide concrete pavement repairs on the Long Island Expressway (I-495) from NY112 (Exit 64) to Yaphank Avenue (Exit 67) in the Town of Brookhaven in Suffolk County to improve efficiency and provide a smoother driving surface to h,,,,,,,,Summer 2020,Summer 2022,Winter 2023/2024,5000000
032808,,10 LONG ISLAND,PRIORITY RESURFACING,"Asphalt pavement repairs, single course overlay on NY25A from Queen/Nassau line to Old Northern Blvd, NY25A from Forest Dr to Glen Cove Rd, NYA from Annandale Dr to the Nassau/Suffolk line, NY25A from the Nassau/Suffolk line to NY108, Towns of Oyster",In Development,Summer 2022,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to restore the pavement riding surface on Northern Boulevard (NY25A) from the Queens/Nassau County line to Old Northern Boulevard, from Forest Drive to Glen Cove Road and from Annandale Drive to the Nassau/Suffolk County line, in the",,,,,,,,Fall 2020,Fall 2022,Fall 2024,14800000
033909,,10 LONG ISLAND,SGSP/SMSP STUDY SSP TO NY25A,"SAGTIKOS STATE PKWY/SUNKEN MEADOW STATE PKWY STUDY: SOUTHERN STATE PKWY TO NY25A  INCLUDING THE PARALLEL ROADWAY Towns of Islip and Smithtown, Suffolk County",In Development,,Yes,Yes,No,Studies,,,,,,,,,Fall 1993,,Summer 2023,
033915,D264032,10 LONG ISLAND,SMSP GUIDERAIL REHAB I495 TO END,"REPAIR AND REPLACE GUIDERAIL SECTIONS SUNKEN MEADOW PARKWAY FROM I495 TO SUNKEN MEADOW STATE PARK TOLL BOOTH, TOWNS OF SMITHTOWN & ISLIP, SUFFOLK COUNTY.",Completed Project,09/12/2019,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,This project proposes to replace existing the existing rustic guiderail on Sunken Meadow Parkway from I495 to the Sunken Meadow State Park Toll Booth in the Towns of Smithtown and Islip in Suffolk County. Existing guiderails will be replaced with guiderai,2019-11-06T00:00:00.000,4464797.2,218.09,4465015.29,2021-06-18T00:00:00.000,GREEN,GREEN,Summer 2017,,,
035612,,10 LONG ISLAND,NY109 Pavement Resurfacing NY27A to Nassau/Suffolk County Line,"Milling, asphalt pavement repairs, single course overlay on NY 109 - NY 27A to the Nassau/Suffolk County Line.  Town of Babylon, Suffolk County.",In Development,Winter 2021/2022,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on NY 109 between NY27A and the Nassau/Suffolk County Line in the Town of Babylon, Suffolk County, to a smooth and distress free condition by milling and resurfacing the existing pavement.  All",,,,,,,,Spring 2020,Winter 2021/2022,Fall 2023,13400000
051654,,10 LONG ISLAND,NSP RAMP SAFETY ENHANCEMENTS AT GLEN COVE RD/NY25,"Safety Enhancements, Westbound NSP Exit Ramp to Glen Cove Road/NY25, Widen GCR providing additional left turn lane on N/B GCR at NY25, rebuild signal on NY25 at GCR, new signal w/b NSP exit ramp at GCR, Town of North Hempstead, Nassau County.",In Development,Spring 2022,Yes,Yes,No,Safety Miscellaneous,This project proposes signalizing the intersection of Glen Cove Road with the westbound Northern State Parkway (908G) exit ramp and constructing an additional left turn lane on the northbound approach of Glen Cove Road at East Jericho Turnpike (NY 25). Tr,,,,,,,,Winter 2016/2017,Spring 2022,Spring 2023,5300000
051655,D264030,10 LONG ISLAND,NSP PAVEMENT REHAB NYC LINE TO MSP,"Milling, concrete & asphalt pavement repairs, single course overlay at NSP from Nassau/Queens line to MSP, town of North Hempstead, Nassau county.",Completed Project,08/08/2019,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on the Northern State Parkway (908G) between the Nassau/Queens county line to the Meadowbrook State Parkway (908E), in the Town of North Hempstead, Nassau County to a smooth and distress free co",2019-09-19T00:00:00.000,18189107,372786.41,18561893.41,2020-12-28T00:00:00.000,GREEN,GREEN,Fall 2017,,,
051656,D264173,10 LONG ISLAND,NSP RUSTIC RAIL REPLACEMENT,"Replace rustic guiderail sections at the Northern State Parkway from  Nassau/Suffolk Line to Commack Rd., Town of Huntington, Suffolk County.",Completed Project,01/23/2020,Yes,Yes,No,Guiderail/Median Barrier: Rehab/Improve,"This project proposes to replace existing rustic guiderail with new guiderail that meets current engineering standards. In addition, new sections of guiderail will be added, if warranted, to ensure the safety of the traveling public on the Northern State",2020-03-03T00:00:00.000,3332546.1,44.96,3332591.06,2021-06-28T00:00:00.000,GREEN,GREEN,Fall 2018,,,
051735,,10 LONG ISLAND,WSP @ OLD COUNTRY RD RAMP IMPVT,"PROVIDE SAFETY IMPROVEMENTS TO RAMPS ON WSP AT INTERCHANGE WITH OLD COUNTRY RD IN NORTH HEMPSTEAD TOWN, NASSAU COUNTY.",In Development,Spring 2025,No,Yes,No,"Pavement: Reconstruction, Asphalt/Overlay","This project proposes to provide safety improvements from the southbound exit ramp of Wantagh Parkway to westbound Old Country Road and from westbound Old Country Road to southbound Wantagh Parkway in town of Hempstead, Nassau County",,,,,,,,Fall 2009,Spring 2025,Spring 2026,4200000
052331,D264531,10 LONG ISLAND,MSP PAVEMENT REHAB OP TO MERRICK RD,"Asphalt pavement repairs, single course overlay on MSP between Ocean Parkway & Merrick Rd, Town of Hempstead, Nassau County.",Under Construction,07/08/2021,Yes,Yes,No,Pavement: Single Course Overlay,This project proposes to restore the pavement riding surface on Meadowbrook State Parkway (908E) from Ocean Parkway (909D) to Merrick Road to a smooth and distress free condition by milling and resurfacing the existing pavement.  All proposed pavement wor,2021-08-13T00:00:00.000,5596000,0,5596000,2022-11-07T00:00:00.000,GREEN,GREEN,Summer 2019,,,
053477,D264285,10 LONG ISLAND,SSP Resurfacing Queens Line to Grand Ave,"Asphalt pavement repairs, single course overlay on SSP from the Queens/Nassau Line to Grand Ave/Baldwin Rd, Town of Hempstead, Nassau County.",Under Construction,08/20/2020,Yes,Yes,No,Pavement: Single Course Overlay,"This project proposes to resurface pavement on Southern State Parkway from the Queens/Nassau County Line to Grand Avenue/Baldwin Road, Town of Hempstead, Nassau County to a smooth and distress free condition by milling and resurfacing the existing pavemen",2020-09-15T00:00:00.000,15968900,22049.69,15990949.69,2021-12-16T00:00:00.000,GREEN,GREEN,Spring 2020,,,
053480,,10 LONG ISLAND,SSP Pavement Resurfacing Exit 20 to Exit 32,"Milling, concrete & asphalt pavement repairs, single course overlay on SSP from Grand Ave/Baldwin Rd to NY110, Towns of Towns of Oyster Bay, Hempstead & Babylon in Nassau & Suffolk Counties.",In Development,Fall 2021,Yes,Yes,No,Pavement: Single Course Overlay,This project proposes to restore the pavement riding surface on Southern State Parkway (908M) from Grand Avenue/Baldwin Road to NY110 to a smooth and distress free condition by milling and resurfacing the existing pavement.  All proposed pavement work is,,,,,,,,Spring 2020,Winter 2021/2022,Spring 2023,25900000
076135,D263860,10 LONG ISLAND,WALT WHITMAN RD OVER I495 BRIDGE WIDENING,Reconstruct the Walt Whitman Rd over I495 bridge to increase capacity by adding at least one lane for a shared center turn lane. Town of huntington Suffolk County,Completed Project,12/19/2018,Yes,Yes,No,Bridge: Replacement: Functional,This project proposes to widen the existing Walt Whitman Road over Interstate 495 (Long Island Expressway) bridge to increase capacity and allow the installation of an additional left turn lane for southbound traffic. The bridge is located in the Town of,2019-03-01T00:00:00.000,28208661.45,470375.56,28679037.01,2020-12-29T00:00:00.000,RED,GREEN,Summer 2016,,,
080838,,10 LONG ISLAND,HIGHWAY RUNOFF MITIGATION,"Correct priority highway flooding locations and replace catch basins with vortex basins at NY25 (Jericho Turnpike) from Paumonok Drive to Hunter's Lane, Britannia Marina on NY25A in the Village of Northport, NY25 (Jericho Turnpike) at Warner Road, No",In Development,Summer 2021,Yes,Yes,No,Drainage: New/Improve,"This project proposes to restore the structural integrity of drainage basins and pipes, control flooding, and improve the quality and efficiency of roadway run-off on roadways at the following locations:NY25 (Jericho Turnpike) from Paumonok Drive to Hunte",,,,,,,,Spring 2008,Fall 2021,Summer 2023,10000000
080874,,10 LONG ISLAND,STORM DRAINAGE IMPROVEMENTS,"Improve debilitated drainage systems and isolated flooding areas; control flooding to promote safer traffic movement; improve quality of highway runoff to adjacent surface waters in the towns of E. Hampton, Riverhead, Southampton & Southold, Suffolk",In Development,Summer 2022,Yes,Yes,No,Drainage: New/Improve,"This proposed project will help improve the structural integrity of drainage structures to better control flooding on roadways at the following locations:NY25 (Main Road) at Lands End Road, Town of Southold, Suffolk CountyNY27 (Montauk Highway) at Fort Po",,,,,,,,Summer 2009,Fall 2022,Summer 2023,7600000
080964,D263661,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties.",Completed Project,04/26/2018,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade or install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations are selected based on the need to address safety concerns and to imp",2018-06-15T00:00:00.000,3869289,327107.2,4196396.2,2020-12-30T00:00:00.000,RED,YELLOW,Fall 2015,,,
080970,D263589,10 LONG ISLAND,BRIDGE CLEANING,BRIDGE CLEANING ON APPROX 266 BRIDGES ON VARIOUS STATE HIGHWAYS & PARKWAYS IN NASSAU & SUFFOLK COUNTIES.,Completed Project,11/30/2017,No,Yes,No,"Bridge: Maintenance: Cyclical (Washing, Sealing, Cleaning, etc.)",This project proposes to wash various bridges (approximately 266 bridges) in Nassau and Suffolk counties. They are washed every other year in order for the bridges to last for their intended life cycle.,2018-01-30T00:00:00.000,868800,-22400,846400,2020-12-29T00:00:00.000,RED,GREEN,Summer 2016,,,
080976,D263730,10 LONG ISLAND,PRIORITY RESURFACING,"CONCRETE & ASPHALT PAVEMENT REPAIRS, SINGLE COURSE OVERLAY NY101 BET NY25A TO HARBOR RD, NY105 BET NY106 TO WANTAGH AVE, TOWNS OF NORTH HEMPSTEAD & HEMPSTEAD, NASSAU COUNTY.",Completed Project,07/12/2018,Yes,Yes,No,Pavement: Mill and Fill,"This project proposes to restore the pavement riding surface on NY105 (Jerusalem Avenue) between NY106 (Newbridge Road) to Wantagh Avenue in the Town of Hempstead, Nassau County and NY101 (Port Washington Boulevard) between NY25A (Northern Boulevard) to H",2018-08-08T00:00:00.000,7948919,-1139648.4,6809270.6,2020-08-24T00:00:00.000,RED,GREEN,Winter 2016/2017,,,
080979,D263737,10 LONG ISLAND,PARK&RIDE/BKWY/GRFFITI/TREE TRIMMING,"REMOVAL OR PAINT OVER OF GRAFITTI, REPAIR NOISE WALLS, TREE TRIMMING, MAINTAIN THE PARK & RIDE LOTS,  ALL NYS BIKEWAYS, REST AREAS, FORMER PUBLIC TELEPHONE AREAS ALONG PARKWAYS & BUS SHELTERS ON NYS RIGHT-OF-WAY NASSAU AND SUFFOLK COUNTIES",Completed Project,09/13/2018,No,Yes,No,Other,"This project proposes to remove or paint over graffiti, repair noise walls, maintain the park and ride lots, bikeways, pedestrian bridges, rest areas, truck stops, truck inspection areas, former public telephone areas along parkways, bus shelters and prov",2018-12-12T00:00:00.000,3555174.96,966449.59,4521624.55,2020-12-30T00:00:00.000,GREEN,RED,Spring 2017,,,
080982,D263963,10 LONG ISLAND,TRAFFIC SIGNAL & LIGHTING REQUIREMENTS,"Replace or upgrade signals and/or appurtenances & install new signals, repair or replace lighting systems and appurtenances on various federal aid eligible state highways in Nassau & Suffolk counties",Under Construction,06/20/2019,Yes,Yes,No,Traffic Signals: Devices/Coordination,"This project proposes to rebuild, upgrade or install traffic signals and repair or replace lighting systems and appurtenances along state highways in Nassau and Suffolk County. Locations will be selected based on the need to address safety concerns and to",2019-08-06T00:00:00.000,3975460.5,87469.72,4062930.22,2021-11-30T00:00:00.000,RED,GREEN,Winter 2017/2018,,,
